,Field Name,Description,FHIR Resource,Coverage / Claim Type,fhirPath,example,notes,sourceView,sourceColumn,bfdDerived,sources,referenceTable,cclfMapping,ccwMapping,profiles
0,Last Updated Time,This field represents the last time that an ExplanationOfBenefit was updated.,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.meta.lastUpdated,2026-01-01T03:02:28.000000Z,,,,,['CWF'],,,,
1,Created Date,EOB created date.,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.created,2018-07-27,,,,,['CWF'],,,,
2,Beneficiary Source Key,Beneficiary Source Key,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.patient.reference.substring(8),-226299259,,,,,['CWF'],,,,
3,Derived Outcome,Derived outcome code.,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.outcome,complete,,,,,['CWF'],,,,
4,Claim Type,Claim Type,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.type.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE').code,B,,,,,['CWF'],,,,
5,Unique Tracking Number,Unique Tracking Number,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.identifier.where(system='https://bluebutton.cms.gov/identifiers/Unique-Tracking-Number').value,-Z8HZVZBG92X34,,,,,['CWF'],,,,
6,Internal Control Number / DCN,Internal Control Number / DCN,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.identifier.where(system='https://bluebutton.cms.gov/identifiers/PA-ICN-DCN').value,81830352987564,,,,,['CWF'],,,,
7,UTN Valid Start Date,UTN Valid Start Date,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.preAuthRefPeriod.start,2018-08-06,,,,,['CWF'],,,,
8,UTN Valid End Date,UTN Valid End Date,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.preAuthRefPeriod.end,2019-08-06,,,,,['CWF'],,,,
9,MAC ID,MAC ID,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information' and code='CLM_CNTRCTR_NUM').exists()).code.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-CNTRCTR-NUM').code,14014,,,,,['CWF'],,,,
10,Type of Bill,Type of Bill,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='http://terminology.hl7.org/CodeSystem/claiminformationcategory' and code='info').exists() and code.coding.system='https://www.nubc.org/CodeSystem/TypeOfBill').code.coding.code,32X,,,,,['CWF'],,,,
11,NPI,NPI,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.contained.where(id = %root.provider.reference.substring(1)).identifier.where(system='http://hl7.org/fhir/sid/us-npi').value,1879134223,,,,,['CWF'],,,,
12,Name,Name,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.contained.where(id = %root.provider.reference.substring(1)).name,BITE AID PHARMACY,,,,,['CWF'],,,,
13,CMS Certification Number,CMS Certification Number,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.contained.where(id = %root.provider.reference.substring(1)).identifier.where(system='http://terminology.hl7.org/NamingSystem/CCN').value,001505,,,,,['CWF'],,,,
14,Current Segment,Current Segment,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.sequence,1,,,,,['CWF'],,,,
15,HCPCS/CPT/HIPPS,HCPCS/CPT/HIPPS code,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.productOrService.coding.code,G0299,,,,,['CWF'],,,,
16,Price Modifier 1,Price Modifier 1,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.modifier.coding.code,RR,,,,,['CWF'],,,,
17,Price Modifier 2,Price Modifier 2,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.modifier.coding.code,RR,,,,,['CWF'],,,,
18,Place of Service,Place of Service,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.location.coding.code,,,,,,['CWF'],,,,
19,Revenue Code 1,Revenue Code 1,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.revenue.coding.code,,,,,,['CWF'],,,,
20,PA Date Added,PA Date Added,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/PA-DT-ADDED').value,2018-07-27,,,,,['CWF'],,,,
21,PA Date Updated,PA Date Updated,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/PA-DT-UPDATED').value,2018-07-27,,,,,['CWF'],,,,
