,Field Name,Description,FHIR Resource,Coverage / Claim Type,fhirPath,example,notes,sourceView,sourceColumn,bfdDerived,sources,referenceTable,cclfMapping,ccwMapping,profiles
0,Matched Beneficiary FHIR ID,The FHIR ID of the beneficiary that was matched.,AuditEvent,,AuditEvent.entity.where(type.coding.code = 'Patient').what.reference.substring(8),,The SK of the beneficiary that was matched during the query process.,,,,,,,,
1,Purpose of Event,"The purpose of the audit event (e.g., PATRQT).",AuditEvent,,AuditEvent.purposeOfEvent.coding.where(system = 'http://terminology.hl7.org/CodeSystem/v3-ActReason').code,PATRQT,The purpose of the audit event.,,,,,,,,
2,Timestamp,The time the audit event occurred.,AuditEvent,,AuditEvent.recorded,2026-04-06T15:10:21.178850077Z,The exact date and time when the audit event was captured.,,,,,,,,
3,Client IP,The IP address of the client.,AuditEvent,,AuditEvent.agent.network.address,192.0.0.1,The IP address from which the client request originated.,,,,,,,,
4,Client Name,The name of the client application.,AuditEvent,,AuditEvent.agent.name,Alex's test app,The human-readable name of the client application.,,,,,,,,
5,Final Determination,The combination used to determine the unique match.,AuditEvent,,AuditEvent.entity.where(type.coding.code = 'Patient').detail,,The combination evaluated that returned a unique match. Includes version + algorithm number.,,,,,,,,
6,Claim Unique ID,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A CLAIM.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.identifier.where(type.coding.system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType' and type.coding.code = 'uc' ).value,PHARM-2024-0012345,,V2_MDCR_CLM,CLM_UNIQ_ID,,['DDPS'],,['CCLF7.CUR_CLM_UNIQ_ID'],['PDE_ID'],"['Basis', 'Regular', 'CMS']"
7,Original Claim Control Number,This field contains the original claim control number for adjusted or corrected claims. It provides a reference to the prior claim that this claim is adjusting or correcting.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.identifier.where(system = 'https://bluebutton.cms.gov/identifiers/CLM-CNTL-NUM').value,CNTL20240012340,,V2_MDCR_CLM,CLM_ORIG_CNTL_NUM,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
8,Claim Type Code,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.type.coding.where(system = 'https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD').code,1,,V2_MDCR_CLM,CLM_TYPE_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,['CCLF7.CLM_TYPE_CD'],,"['Basis', 'Regular', 'CMS']"
9,Beneficiary Source Key - On Claim,Beneficiary Source Key - On Claim,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.patient.reference.substring(8),123456789,,,,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
10,Claim From Date,A DATE IDENTIFYING THE FIRST DAY SERVICES ARE PROVIDED TO A BENEFICIARY.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.billablePeriod.start,2024-01-15,,V2_MDCR_CLM,CLM_FROM_DT,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
11,Claim Thru Date,"A DATE IDENTIFYING THE LAST DAY SERVICES ARE PROVIDED TO A BENEFICIARY.  NOTE: FOR DRUG CLAIMS, THIS DATE IS WHEN THE PRESCRIPTION WAS FILLED.",ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.billablePeriod.end,2024-01-15,,V2_MDCR_CLM,CLM_THRU_DT,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
12,Claim Effective Date,A DATE CORRESPONDING TO THE NATIONAL CLAIM HISTORY (NCH) WEEKLY PROCESSING DATE AND USED IN FINAL ACTION PROCESSING TO IDENTIFY A VERSION OF A CLAIM. IT WILL ALWAYS BE A FRIDAY DATE.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.created,2024-01-15,,V2_MDCR_CLM,CLM_EFCTV_DT,,['DDPS'],,['CCLF7.CLM_EFCTV_DT'],,"['Basis', 'Regular', 'CMS']"
13,Claim Source ID,AN IDENTIFIER INDICATING WHERE THE SOURCE OF THE CLAIM DATA IN THE INTEGRATED DATA REPOSITORY (IDR) ORIGINATED FROM.   VALID VALUES:  20000 = NATIONAL CLAIMS HISTORY (NCH)  21000 = FISCAL INTERMEDIARY SHARED SYSTEM (FISS)  22000 = MULTI-CARRIER SYSTEM (MCS)  23000 = VIABLE INFORMATION PROCESSING SYSTEMS (VIPS) MEDICARE SYSTEM (VMS)  24000 = ENCOUNTER DATA PROCESSING SYSTEM (EDPS)  25000 = ENCOUNTER MEDICAID DUALS 837 CLAIMS  AND DUALS MEDICAID DRUG CLAIMS (DMDC)  N/A = MEDICAID,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.meta.source,DDPS,,V2_MDCR_CLM,CLM_SRC_ID,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-SRC-ID,,,"['Basis', 'Regular', 'CMS']"
14,Service Provider Generic ID Number,A NUMBER USED TO IDENTIFY A SERVICE PROVIDER.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.contained.where(id = %context.provider.reference.substring(1)).identifier.where(system='http://bluebutton.cms.gov/fhir/identifiers/GenericIdNum').value,1942945159,,V2_MDCR_CLM,CLM_SRVC_PRVDR_GNRC_ID_NUM,,['DDPS'],,['CCLF7.CLM_SRVC_PRVDR_GNRC_ID_NUM'],['SRVC_PRVDR_ID'],"['Basis', 'Regular', 'CMS']"
15,Service Provider NPI Number,A NUMBER IDENTIFYING THE NATIONAL PROVIDER IDENTIFIER (NPI) OF A SERVICE PROVIDER AS SOURCED FROM THE NPI CROSSWALK REFERENCE INFORMATION PROVIDED BY THE NATIONAL PLAN AND PROVIDER ENUMERATION SYSTEM (NPPES).,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.contained.where(id = %root.provider.reference.substring(1)).identifier.where(system='http://hl7.org/fhir/sid/us-npi').value,,"CCLF7.CLM_SRVC_PRVDR_GNRC_ID_NUM can provide NCPDP numbers in .008% of instances (among other rare ID types). These are surfaced as generic ID numbers, and may require a different FHIRPath expression (using system = ""http://bluebutton.cms.gov/fhir/identifiers/GenericIdNum"").",V2_MDCR_CLM,PRVDR_SRVC_PRVDR_NPI_NUM,,['DDPS'],,,['SRVC_PRVDR_ID'],"['Basis', 'Regular', 'CMS']"
16,Provider Service Identifier Qualifier Code,A CODE INDICATING THE TYPE OF NUMBER USED TO IDENTIFY A SERVICE PROVIDER ON A CLAIM.  FOR EXAMPLE:  01 = NPI  07 = NCPDP NUMBER  08 = STATE LICENSE NUMBER    REFERENCE TABLE: CLM_PRVDR_ID_QLFYR_CD,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.contained.where(id = %context.provider.reference.substring(1)).identifier.type.where(system='http://bluebutton.cms.gov/fhir/CodeSystem/PRVDR-ID-QLFYR-CD').code,,,V2_MDCR_CLM,PRVDR_SRVC_ID_QLFYR_CD,,['DDPS'],,['CCLF7.PRVDR_SRVC_ID_QLFYR_CD'],,"['Basis', 'Regular', 'CMS']"
17,Provider Prescribing Identifier Qualifier Code,A CODE INDICATING THE TYPE OF NUMBER USED TO IDENTIFY A PRESCRIBING PROVIDER ON A CLAIM.  FOR EXAMPLE:  01 = NPI  07 = NCPDP NUMBER  08 = STATE LICENSE NUMBER    REFERENCE TABLE: CLM_PRVDR_ID_QLFYR_CD,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.careTeam.where(role.coding.where(code = 'prescribing').exists()).provider.identifier.type.coding.where(system='http://bluebutton.cms.gov/fhir/CodeSystem/PRVDR-ID-QLFYR-CD').code,01,,V2_MDCR_CLM,PRVDR_PRSBNG_ID_QLFYR_CD,,['DDPS'],,['CCLF7.PRVDR_PRSBNG_ID_QLFYR_CD'],,"['Basis', 'Regular', 'CMS']"
18,Prescribing Provider Generic ID Number,A NUMBER IDENTIFYING A GENERIC IDENTIFIER OF A PRESCRIBING PROVIDER SUBMITTED ON A DRUG CLAIM.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.careTeam.where(role.coding.where(code='prescribing').exists()).provider.identifier.where(system='http://bluebutton.cms.gov/fhir/identifiers/GenericIdNum').value,,,V2_MDCR_CLM,CLM_PRSBNG_PRVDR_GNRC_ID_NUM,,['DDPS'],,['CCLF7.CLM_PRSBNG_PRVDR_GNRC_ID_NUM'],['PRSCRBR_ID'],"['Basis', 'Regular', 'CMS']"
19,Prescribing Provider NPI Number,A NUMBER IDENTIFYING THE NATIONAL PROVIDER IDENTIFIER (NPI) OF A PRESCRIBING PROVIDER AS SOURCED FROM THE NPI CROSSWALK REFERENCE INFORMATION PROVIDED BY THE NATIONAL PLAN AND PROVIDER ENUMERATION SYSTEM (NPPES).,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.careTeam.where(role.coding.where(code='prescribing').exists()).provider.identifier.where(system='http://hl7.org/fhir/sid/us-npi').value,1942945159,"Not all will populate an NPI. Some will be other types, see CLM_PRSBNG_PRVDR_GNRC_ID_NUM.",V2_MDCR_CLM,PRVDR_PRSCRBNG_PRVDR_NPI_NUM,,['DDPS'],,,['PRSCRBR_ID'],"['Basis', 'Regular', 'CMS']"
20,Prescribing Provider Last Name,Last name of the prescribing provider,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.careTeam.where(role.coding.where(code='prescribing').exists()).provider.display,"Stark, Tony",,V2_MDCR_PRVDR_HSTRY,PRVDR_LAST_NAME,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
21,Payment Date,A DATE INDICATING WHEN A CLAIM WAS PAID.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.payment.date,2024-01-20,,V2_MDCR_CLM,CLM_PD_DT,,['DDPS'],,,['PD_DT'],"['Basis', 'Regular', 'CMS']"
22,Claim Process Date,"DATE A CLAIM OR PRESCRIPTION DRUG EVENT WAS PROCESSED BY A CMS FRONT END SYSTEM, SUCH AS THE DDPS OPERATIONAL DATA STORE.",ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_CMS_PROC_DT').exists()).timing,2024-01-18,,V2_MDCR_CLM_DT_SGNTR,CLM_CMS_PROC_DT,,['DDPS'],,,,['CMS']
23,Claim Submission Format Code,A code identifying the format of the claim as submitted.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_SBMT_FRMT_CD').exists()).code.coding.code,X,,V2_MDCR_CLM,CLM_SBMT_FRMT_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-SBMT-FRMT-CD,,['NSTD_FRMT_CD'],"['Regular', 'CMS']"
24,Beneficiary Payment Amount,AN AMOUNT PAID BY A BENEFICIARY FOR SERVICES RENDERED ON A CLAIM.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.total.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBAdjudication' and code='paidbypatient').exists() and category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_BENE_PMT_AMT').exists()).amount.value,100,,V2_MDCR_CLM,CLM_BENE_PMT_AMT,,['DDPS'],,,['PTNT_PAY_AMT'],"['Regular', 'CMS']"
25,Other Third Party Paid Amount,AN AMOUNT IDENTIFYING HOW MUCH WAS PAID BY A THIRD PARTY PAYER.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.total.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_OTHR_TP_PD_AMT').exists()).amount.value,100,,V2_MDCR_CLM,CLM_OTHR_TP_PD_AMT,,['DDPS'],,,,"['Regular', 'CMS']"
26,Submitter Contract Number,The contract number of the plan that submitted the claim.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_SBMTR_CNTRCT_NUM').exists()).value,H1234,,V2_MDCR_CLM,CLM_SBMTR_CNTRCT_NUM,,['DDPS'],,,['PLAN_CNTRCT_REC_ID'],"['Basis', 'Regular', 'CMS']"
27,Submitter PBP Number,The Plan Benefit Package (PBP) number of the plan that submitted the claim.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_SBMTR_CNTRCT_PBP_NUM').exists()).value,001,,V2_MDCR_CLM,CLM_SBMTR_CNTRCT_PBP_NUM,,['DDPS'],,,['PLAN_PBP_REC_NUM'],"['Basis', 'Regular', 'CMS']"
28,Contract PBP Name,This field contains the name of the plan benefit package (PBP) for the beneficiary's Part D plan of record for the year.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.contained.where(id='insurer-org').name,Super Saver Medicare Rx Saver Plus (PDP),,V2_MDCR_CNTRCT_PBP_NUM,CNTRCT_PBP_NAME,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
29,Line Item Sequence Number,A NUMBER IDENTIFYING THE POSITION OF THE SERVICE OR ITEM ON THE CLAIM. THIS IS A COMPONENT OF THE 5-PART KEY USED FOR JOINING CLAIMS.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.sequence,1,,V2_MDCR_CLM_LINE,CLM_LINE_NUM,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
30,Line Item From Date,A DATE INDICATING THE FIRST DAY OF SERVICE FOR A LINE ITEM.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.serviced,2024-01-15,,V2_MDCR_CLM_LINE,CLM_LINE_FROM_DT,,['DDPS'],,['CCLF7.CLM_LINE_FROM_DT'],['SRVC_DT'],"['Basis', 'Regular', 'CMS']"
31,National Drug Code,THE NATIONAL DRUG CODE THAT IDENTIFIES SPECIFIC DRUGS.,ExplanationOfBenefit,['Pharmacy'],(ExplanationOfBenefit.item.productOrService.coding|ExplanationOfBenefit.item.detail.productOrService.coding).where(system = 'http://hl7.org/fhir/sid/ndc').code,00071015523,"For deleted PDE claims, this will have a data absent reason.",V2_MDCR_CLM_LINE,CLM_LINE_NDC_CD,,['DDPS'],,['CCLF7.CLM_LINE_NDC_CD'],['PROD_SRVC_ID'],"['Basis', 'Regular', 'CMS']"
32,Line Item NDC Quantity,THE QUANTITY OF AN NDC APPLICABLE TO INSTITUTIONAL CLAIMS.,ExplanationOfBenefit,['Pharmacy'],(ExplanationOfBenefit.item.quantity|ExplanationOfBenefit.item.detail.quantity).value,60,,V2_MDCR_CLM_LINE,CLM_LINE_NDC_QTY,,['DDPS'],,['CCLF7.CLM_LINE_SRVC_UNIT_QTY'],['QTY_DSPNSD_NUM'],"['Basis', 'Regular', 'CMS']"
33,Line Item NDC Quantity Qualifier Code,"QUALIFIES THE TYPE OF QUANTITY APPLICABLE TO AN NDC PRESENT ON ALL INSTITUTIONAL CLAIM TYPES (INPATIENT/SNF, OUTPATIENT, HOME HEALTH AND HOSPICE.",ExplanationOfBenefit,['Pharmacy'],(ExplanationOfBenefit.item.quantity|ExplanationOfBenefit.item.detail.quantity).unit,UN,,V2_MDCR_CLM_LINE,CLM_LINE_NDC_QTY_QLFYR_CD,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
34,Claim Line Covered Paid Amount,AN AMOUNT IDENTIFYING THE MEDICARE PAYMENT FOR A LINE ITEM SERVICE.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='http://terminology.hl7.org/CodeSystem/adjudication' and code='benefit').exists()).amount.value,45.5,,V2_MDCR_CLM_LINE,CLM_LINE_CVRD_PD_AMT,,['DDPS'],,,['CVRD_D_PLAN_PD_AMT'],"['Regular', 'CMS']"
35,Patient Responsibility Payment Amount,"AN AMOUNT IDENTIFYING THE PAYMENT MADE BY A BENEFICIARY FOR A DETAIL LINE OF SERVICE ON A CLAIM.  NOTE: FOR PART D, THIS AMOUNT COUNT TOWARDS A BENEFICIARYS TRUE-OUT-OF-POCKET (TROOP) COST.",ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBAdjudication' and code='paidbypatient').exists() and category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_LINE_BENE_PMT_AMT').exists()).amount.value,10,,V2_MDCR_CLM_LINE,CLM_LINE_BENE_PMT_AMT,,['DDPS'],,['CCLF7.CLM_LINE_BENE_PMT_AMT'],['PTNT_PAY_AMT'],"['Regular', 'CMS']"
36,Gross Drug Cost Above Out Of Pocket Threshold,The gross drug cost amount that was covered by Part D's catastrophic coverage.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.adjudication.where(category.coding.system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and category.coding.code='CLM_LINE_GRS_ABOVE_THRSHLD_AMT').amount.value,25,,V2_MDCR_CLM_LINE_RX,CLM_LINE_GRS_ABOVE_THRSHLD_AMT,,['DDPS'],,,['GDC_ABV_OOPT_AMT'],['CMS']
37,Gross Drug Cost Below Out Of Pocket Threshold,The gross drug cost amount that was not covered by Part D's catastrophic coverage.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.adjudication.where(category.coding.system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and category.coding.code='CLM_LINE_GRS_BLW_THRSHLD_AMT').amount.value,75,,V2_MDCR_CLM_LINE_RX,CLM_LINE_GRS_BLW_THRSHLD_AMT,,['DDPS'],,,['GDC_BLW_OOPT_AMT'],['CMS']
38,Low Income Cost Sharing Subsidy Amount,The Low Income Cost Sharing Subsidy amount for the line item.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.adjudication.where(category.coding.system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and category.coding.code='CLM_LINE_LIS_AMT').amount.value,10,,V2_MDCR_CLM_LINE_RX,CLM_LINE_LIS_AMT,,['DDPS'],,,['LICS_AMT'],['CMS']
39,Patient Liability Reduction Other Paid Amount,The Patient Liability Reduction Other paid amount for the line item.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.adjudication.where(category.coding.system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and category.coding.code='CLM_LINE_PLRO_AMT').amount.value,1,,V2_MDCR_CLM_LINE_RX,CLM_LINE_PLRO_AMT,,['DDPS'],,,['PLRO_AMT'],['CMS']
40,Claim Line Reported Gap Discount Amount,The reported amount that the sponsor advanced at point-of-sale for the gap discount for applicable drugs.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.adjudication.where(category.coding.system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and category.coding.code='CLM_LINE_RPTD_GAP_DSCNT_AMT').amount.value,10,,V2_MDCR_CLM_LINE_RX,CLM_LINE_RPTD_GAP_DSCNT_AMT,,['DDPS'],,,['RPTD_GAP_DSCNT_NUM'],['CMS']
41,Total drug cost (Part D),"This variable is the total cost of the prescription drug event and is taken directly from the original PDE. It is the sum of the following components: the ingredient cost (INGRDNT_CST_PD_AMT), the dispensing fee (DSPNSNG_FEE_PD_AMT), the sales tax, if any (TOT_AMT_ATTR_SLS_TAX_AMT), and the vaccine administration fee, if any (VCCN_ADMIN_FEE_AMT, included starting in 2010).",ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='TOT_RX_CST_AMT')).amount.value,45.5,"Derived using the sum of CLM_LINE_INGRDNT_CST_AMT, CLM_LINE_SRVC_CST_AMT, CLM_LINE_SLS_TAX_AMT, and CLM_LINE_VCCN_ADMIN_FEE_AMT. TOT_RX_CST_AMT is also set on the EOB's total with fhirPath ExplanationOfBenefit.total.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBAdjudication' and code='submitted').exists() and category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='TOT_RX_CST_AMT').exists()).amount.value",,,True,['DDPS'],,,['TOT_RX_CST_AMT'],"['Regular', 'CMS']"
42,Pricing Exception Code,The pricing exception code indicating network status.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.adjudication.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBAdjudicationDiscriminator' and code='benefitpaymentstatus').exists()).reason.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBPayerAdjudicationStatus').code,outofnetwork,,V2_MDCR_CLM_LINE_RX,CLM_PRCNG_EXCPTN_CD,,['DDPS'],,,['PRCNG_EXCPTN_CD'],"['Basis', 'Regular', 'CMS']"
43,Authorized Fill Number,The number of refills authorized for the prescription.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBSupportingInfoType' and category.coding.code='refillsauthorized').valueQuantity.value,0,,V2_MDCR_CLM_LINE_RX,CLM_LINE_AUTHRZD_FILL_NUM,,['DDPS'],,,['FILL_NUM'],"['Basis', 'Regular', 'CMS']"
44,Pharmacy Service Type Code,Code indicating the type of pharmacy service.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information' and code='CLM_PHRMCY_SRVC_TYPE_CD').exists()).code.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PHRMCY-SRVC-TYPE-CD').code,01,,V2_MDCR_CLM_LINE_RX,CLM_PHRMCY_SRVC_TYPE_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PHRMCY-SRVC-TYPE-CD,['CCLF7.CLM_PHRMCY_SRVC_TYPE_CD'],['PHRMCY_SRVC_TYPE_CD'],['CMS']
45,RX Origin Code,Code indicating the origin of the prescription.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBSupportingInfoType' and code='rxorigincode').exists()).code.coding.where(system='http://terminology.hl7.org/CodeSystem/NCPDPPrescriptionOriginCode').code,3,,V2_MDCR_CLM_LINE_RX,CLM_LINE_RX_ORGN_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-LINE-RX-ORGN-CD,,['RX_ORGN_CD'],"['Basis', 'Regular', 'CMS']"
46,Brand/Generic Code,Code indicating if a drug is brand or generic.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBSupportingInfoType' and code='brandgenericindicator').exists()).code.coding.where(system='http://terminology.hl7.org/CodeSystem/NCPDPBrandGenericIndicator').code,G,,V2_MDCR_CLM_LINE_RX,CLM_BRND_GNRC_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BRND-GNRC-CD,,['BRND_GNRC_CD'],"['Basis', 'Regular', 'CMS']"
47,Patient Residence Code,Code indicating the patient's residence at the time of service.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.code.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PTNT-RSDNC-CD').code,01,,V2_MDCR_CLM_LINE_RX,CLM_PTNT_RSDNC_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PTNT-RSDNC-CD,,['PTNT_RSDNC_CD'],['CMS']
48,LTC Dispensing Method Code,Long Term Care (LTC) dispensing method code.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.code.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-LTC-DSPNSNG-MTHD-CD').code,05,,V2_MDCR_CLM_LINE_RX,CLM_LTC_DSPNSNG_MTHD_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-LTC-DSPNSNG-MTHD-CD,,['SUBMSN_CLR_CD'],['CMS']
49,Compound Code,Code indicating if a drug is a compound.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBSupportingInfoType' and code='compoundcode').exists()).code.coding.where(system='http://terminology.hl7.org/CodeSystem/NCPDPCompoundCode').code,0,,V2_MDCR_CLM_LINE_RX,CLM_CMPND_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-CMPND-CD,,['CMPND_CD'],"['Basis', 'Regular', 'CMS']"
50,Days Supply Quantity,The number of days supply for the prescription.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBSupportingInfoType' and code='dayssupply').exists()).valueQuantity.value,30,,V2_MDCR_CLM_LINE_RX,CLM_LINE_DAYS_SUPLY_QTY,,['DDPS'],,,['DAYS_SUPLY_NUM'],"['Basis', 'Regular', 'CMS']"
51,RX Fill Number,The fill number for the prescription.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBSupportingInfoType' and code='refillnum').exists()).valueQuantity.value,1,,V2_MDCR_CLM_LINE_RX,CLM_LINE_RX_FILL_NUM,,['DDPS'],,['CCLF7.CLM_LINE_RX_FILL_NUM'],['FILL_NUM'],"['Basis', 'Regular', 'CMS']"
52,DAW Product Selection Code,Dispense As Written (DAW) / Product Selection Code.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.code.coding.where(system='http://terminology.hl7.org/CodeSystem/NCPDPDispensedAsWrittenOrProductSelectionCode').code,0,,V2_MDCR_CLM_LINE_RX,CLM_DAW_PROD_SLCTN_CD,,['DDPS'],,['CCLF7.CLM_DAW_PROD_SLCTN_CD'],['DAW_PROD_SLCTN_CD'],"['Basis', 'Regular', 'CMS']"
53,Drug Coverage Status Code,Code indicating the drug coverage status.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.supportingInfo.code.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-DRUG-CVRG-STUS-CD').code,C,,V2_MDCR_CLM_LINE_RX,CLM_DRUG_CVRG_STUS_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-DRUG-CVRG-STUS-CD,,['DRUG_CVRG_STUS_CD'],['CMS']
